case_id,slide_id,label,stem-like,diff,immune,neuron,glia,endothelial,GN,lymphoid_cells,MES_ATYP,MES_TYP,myeloid_cells,RTK_I,RTK_II
208144140120_R06C01,FT92_ST-24-830-A1,mesenchymal,0.61296306,0.0207223,0.109667213,0.041425778,0.21522165,0,0.02407633,0.011429982,0.017337245,0,0.011810915,0.935345528,0
208144140140_R05C01,FU08_ST-24-787-A1,mesenchymal,0.109517388,0.345602498,0.234540574,0.062995395,0.247344145,0.038981269,0.07384826,0.020936886,0,0.482822387,0.009854238,0.182011103,0.191545857
208144260029_R01C01,FT19_ST-24-651_A11 - 2024-02-16 12.26.28,mesenchymal,0.149162494,0.353513967,0.328681205,0.02578807,0.142854265,0,0.030200571,0,0,0.355378313,0.150106234,0.147660441,0.316654442
208144260055_R04C01,FU12_ST-24-791-A1,mesenchymal,0.119440988,0.223529756,0.504739737,0.064135061,0.088154458,0.011852753,0.020525547,0,0.525807151,0.044055792,0.251975103,0.031778838,0.114004817
208144260058_R01C01,FW05_ST-24-1227-A1_NP-24-4158-A1,RTK2,0.3241935,0.263217331,0.019454048,0.139018113,0.254117007,0,0.066893509,0.02493761,0.051520751,0.054220335,0,0.802427795,0
208144260058_R06C01,FW12_ST-24-1016_A-1 - 2024-02-16 14.39.38,RTK2,0.115850012,0.665286891,0.047451807,0.074149465,0.097261825,0.007165778,0.048981593,0.013578271,0.029940224,0,0.054883982,0.118970567,0.726479585
208144260075_R07C01,FX90_ST-24-1566_A1 - 2024-03-08 12.21.15,RTK2,0.224058253,0.210621969,0.423347972,0.032853148,0.109118658,0.023267729,0.057703064,0.171685185,0.118673061,0.20725215,0.114640392,0.247120817,0.059657603
208144260093_R05C01,FY39_ST-24-1559_A1 - 2024-03-06 11.10.39,mesenchymal,0.278905213,0.602209217,0,0.11888557,0,0,0.212798689,0.057650813,0,0,0.006659936,0.515612111,0.20727845
208144260119_R02C01,FS71_ST-24-572-A1,mesenchymal,0.589601549,0.175208898,0.005397856,0.042843394,0.186948303,0,0.00057596,0.003736456,0,0,4.50E-05,0.516510373,0.479132195
208144260131_R04C01,FY47_ST-24-1651_A1 - 2024-03-06 11.22.51,mesenchymal,0.466353613,0.070712752,0.215307966,0.039609119,0.20801655,0.00404159,0.034753988,0.01182935,0.014124309,0,0.112880827,0.600600144,0.221769793
208144260135_R07C01,GA28_SS-24-1835_A-1 - 2024-03-15 11.21.37,RTK2,0.665231381,0.201494653,0,0.033502263,0.099771703,0,0.011953628,0.005208811,0.017141915,0,0,0.88700185,0.078693796
202822930133_R02C01,U434_SS-19-1191,RTK1,0.275160156,0.321726838,0.286133038,0.116979968,0,0.018337111,0,0,0.910432473,0,0,0.052846539,0.018383876
202827620019_R06C01,U764_SS-19-2021__S19-4922-1C_2019-04-25_10.34.00,RTK2,0.026370516,0.316779963,0.34181604,0.080866172,0.23416731,0,0,0,0,0.787195677,0.00992246,0,0.202881863
202827620093_R01C01,U831_SS-19-2361_2019-05-01_19.35.18,mesenchymal,0,0.323060108,0.495543122,0.060638267,0.120758503,0,0,0,0.190454235,0.474887683,0.165964279,0,0.168693804
202831040039_R02C01,U958_SS-19-2579,RTK2,0.134640951,0.232486955,0.577598865,0.045632444,0.009640785,0,0,0,0.09579508,0.292146529,0.285961348,0.083490034,0.242607011
203136010008_R04C01,V089_SS-19-3028,mesenchymal,0.096511418,0.575012665,0.181102821,0.079788243,0.067584852,0.012176714,0.024741525,0.019317554,0.056226554,0.148016409,0.023053936,0.01317307,0.703294239
203136010008_R06C01,V105_SS-19-3133,RTK1,0.117168313,0.3139056,0.328280682,0.058005053,0.182640353,0.03346723,0.014219703,0.001005207,0.090722649,0.271732595,0.102362497,0.094358912,0.392131207
203136010022_R05C01,V194_ST-19-3309-2019-07-05-10-59-37,RTK2,0.164492571,0.286644109,0.428823528,0.057549312,0.06249048,0,0,0,0.088149229,0.207558895,0.189584131,0.028732845,0.4859749
203136010023_R04C01,V260_SI-19-3130_2019-06-27_16.57.53,RTK2,0.549173715,0.04422083,0.224240787,0.032068768,0.1502959,0.002640523,0.003888827,0.015873774,0.052825065,0.130349175,0.047807386,0.698398646,0.048216605
203136010023_R07C01,V288_SS-19-3564_2019-06-27_16.59.49,RTK2,0.135063568,0.475546973,0.171567608,0.07531706,0.142504792,0.001648985,0,0.021699119,0.024110276,0.049972386,0.011508181,0.03097888,0.860082173
203136010139_R03C01,V403_SS-19-3936_20_2019-07-12_17.29.53,RTK1,0.111053971,0.577900113,0.077593693,0.108714881,0.124737343,0,0.021094435,0.007175564,0,0,0,0.001683437,0.970046564
203717920088_R03C01,V461_SS-19-4126_20x_S60_BF-2019-07-26-14-58-58,RTK1,0.097105175,0.31474685,0.437627364,0.05231533,0.09820528,0.006393058,0,0.002521897,0.082694978,0.245010684,0.156067852,0.0638434,0.443468131
203717920088_R06C01,V465_SI-19-3954_20x_S60_BF-2019-07-26-15-07-38,RTK2,0.040459949,0.363181107,0.248994986,0.0539676,0.293396358,0.002039983,0.1130471,0.011003355,0.005574307,0.422211923,0.038843517,0,0.407279816
203717920088_R07C01,V466_SI-19-3778_20x_S60_BF-2019-07-26-15-11-18,RTK2,0.046832316,0.44959291,0.21950172,0.040043533,0.24402952,0,0.054196758,0,0,0.305447488,0.037509342,0,0.602846412
203723050022_R06C01,W703-SS-19-7660-40x-S60,mesenchymal,0.221367864,0.298595756,0.409424383,0.070611997,0,0,0,0,0.770591633,0.092549915,0.03933039,0.097528062,0
203723050033_R06C01,V918_SS-19-5483_40x_S60-2019-10-07-10-38-01,mesenchymal,0.501022286,0.103202304,0.179199129,0.016196238,0.200380043,0,0,0.01666594,0,0.179463972,0.020560763,0.744248639,0.039060686
203723050038_R03C01,W413_SI-19-6763_40x_S60_2019-12-11_19.13.26,mesenchymal,0.017001667,0.501168709,0.123576175,0.067156091,0.291097358,0,0.118047806,0,0.000127891,0.105095035,0.014056552,0.022179344,0.740493371
203723050039_R02C01,W382_ST-19-6695_20x_S60_2019-12-10_18.40.47,mesenchymal,0.306017622,0.236016993,0.389461433,0.058415318,0.010088634,0.004346697,0.002926206,0.025975386,0.545653157,0.145749098,0.006662149,0.268687307,0
203723060005_R01C01,S149-SS-18-1122-40x-S60,RTK1,0.029594474,0.403562752,0.289644569,0.084628315,0.192569889,0.011150874,0.002115694,0.00957848,0.007476496,0.217537045,0.03694912,0,0.715192291
203723060005_R05C01,W761-ST-19-7620-40x-S60,RTK2,0.098475851,0.304258948,0.369132737,0.067284505,0.160847959,0,0,0.068008625,0.117333461,0.533885831,0,0,0.280772083
203723060023_R02C01,X083-SS-20-346-20x-S60,mesenchymal,0.035263902,0.739880066,0.07319058,0.066492515,0.085172937,0.034852281,0.049849965,0.066461785,0.134810861,0.142531585,0,0.047878438,0.523615085
203723060035_R02C01,W121_SI-19-5976_40x_S60-2019-10-22-17-47-07,mesenchymal,0.098660476,0.642314647,0.06342267,0.082909565,0.112692642,0,0.004146342,0,0,0,0.004873272,0,0.990980386
203723060035_R07C01,W165_SS-19-6009_40x_S60-2019-10-22-18-36-26,RTK1,0.13671261,0.604096503,0.065458354,0.104553936,0.089178597,0.009335768,0,0.020519286,0,0,0,0.020015641,0.950129305
203723060036_R01C01,W167_SS-19-6007_40x_S60-2019-10-22-18-47-59,RTK1,0.132680971,0.735859025,0.037981208,0.093478797,0,0,0,0.004496678,0,0,0.005446238,0,0.990057084
203723060079_R01C01,X026-ST-20-227-20x-S60,mesenchymal,0.029808897,0.588672036,0.271359218,0.075667383,0.034492465,0,0,0,0.367184188,0.179072735,0.011631082,0,0.442111995
203723060093_R06C01,W819-ST-19-7750-40x-S60,RTK1,0.103997869,0.615599065,0.133433816,0.055172546,0.091796704,0.002348234,0.012466403,0.002403032,0.004165476,0.11723247,0.016299064,0.030161068,0.814924253
203723180041_R01C01,W046_SS-19-5609_40x_S60-2019-10-18-18-32-02,RTK2,0.094414081,0.710865965,0,0.054996719,0.139723235,0,0.009055005,0,0,0,0,0,0.990944995
203723180042_R02C01,V964_SS-19-5584_40x_S60-2019-10-07-11-17-36,mesenchymal,0.073229583,0.546231393,0.086212013,0.090866069,0.203460942,0,0.093497522,0.002919175,0,0.110317391,0.00248801,0.085119266,0.705658635
203723180047_R02C01,W622-SS-19-7402-40x-S60,RTK2,0.128622551,0.635177688,0.046760028,0.060646859,0.128792874,0.003002369,0.038538238,0.003013699,0,0,0.046086107,0.1019274,0.807432187
203723180047_R04C01,W631-SS-19-7407-40x-S60,mesenchymal,0.191476347,0.610886515,0.0586368,0.05142115,0.087579188,0,0,0,0,0.079863913,0,0.095739058,0.824397029
203723180047_R05C01,W632-SI-19-7166-40x-S60,mesenchymal,0.045185117,0.246633027,0.650137392,0.058044464,0,0,0,0.005799106,0.65641999,0.107680951,0.219970817,0.010129135,0
203723180056_R02C01,W328_ST-19-6513_40x_S60_2019-12-11_16.16.21,RTK2,0.495342866,0.034729966,0.128236663,0.057498576,0.284191929,0.015944081,0.095547955,0,0.013678331,0,0.05339535,0.821434283,0
203723180083_R01C01,W269_ST-19-6408_40x_S60_2019-12-11_14.52.39,RTK2,0.4284797,0.303664265,0.169859683,0.018795852,0.0792005,0,0.017104002,0,0,0.14074054,0.102861381,0.527530578,0.211763499
203723180092_R02C01,W595-SI-19-6907-20x-S60---2019-12-31-14.36.29,RTK2,0.1277494,0.582557676,0.161406218,0.047766769,0.080519937,0,0.010476677,0.01955386,0.015198577,0.127538839,0,0.053368709,0.773863339
203723190002_R03C01,W365_ST-19-6596_40x_S60_2019-12-11_16.58.45,mesenchymal,0.078889886,0.58731958,0.076096881,0.06959414,0.188099513,0,0.017889387,0,0,0.05282439,0,0.041646522,0.887639701
203723190002_R05C01,W367_ST-19-6640_20x_S60_2019-12-10_18.22.25,RTK2,0,0.487201901,0.18796724,0.075619773,0.249211086,0,0.005200746,0,0.280935195,0.215334122,0,0,0.498529937
203723190003_R04C01,W549-SS-19-7128-40x-S60,RTK1,0.042649453,0.563114461,0.110891882,0.085806244,0.19753796,0.014464026,0.052316146,0.001064353,0,0.090261116,0.00676319,0,0.835131168
203723190003_R05C01,W551-SS-19-7157-40x-S60,mesenchymal,0,0.306264368,0.432536328,0.071420365,0.189778939,0.063561587,0.006213743,0.063134329,0.105064639,0.426261074,0.054098337,0,0.281666289
203723190012_R03C01,V800_SS-19-5067_aCONS_SLR22_40x_S60-2019-10-04-18-24-00,mesenchymal,0.353560942,0.214533169,0.074669504,0.073776492,0.283459893,0.000621386,0.086652874,0,0,0.015371015,0.012665694,0.349719359,0.534969672
203723190012_R05C01,V818_SI-19-5014_3FS1_SL1_40x_S60-2019-10-04-20-10-40,mesenchymal,0.522331484,0.281183072,0,0.030949066,0.165536378,0,0.036288108,0,0,0,0.012610423,0.657602714,0.293498755
203726680058_R01C01,V706_SS-19-4722_20x_XR,mesenchymal,0.065066801,0.678168927,0.044484414,0.05988374,0.152396119,0.011809971,0.016890286,0,0,0,0,0.005675062,0.96562468
203730640003_R02C01,W879-SI-19-8145-40x-S60,mesenchymal,0.016723323,0.320916784,0.145873075,0.04963257,0.466854248,0,0.277556981,0.006533959,0,0.349239877,0.006170658,0.080908028,0.279590497
203730640003_R05C01,W883-ST-19-8107-40x-S60,RTK2,0,0.371898635,0.442972017,0.061038578,0.12409077,0.034488977,0,0.034597076,0.242996109,0.431119274,0.046882383,0,0.209916179
203730640088_R07C01,W668-SI-19-7268-40x-S60,RTK2,0.12651439,0.53894022,0.064621153,0.065219911,0.204704326,0,0.066803784,0,0.003816039,0.019119269,0,0.005924678,0.904336229
203730640105_R06C01,W945-ST-19-8159-20x-S60,RTK2,0,0.531758296,0.1697255,0.074783581,0.223732623,0,0.017548291,0.000486143,0.010903437,0.188536013,0.014248955,0,0.76827716
203730640105_R08C01,W947-ST-19-8162-40x-S60,RTK2,0.058409267,0.742601072,0.103849265,0.050321736,0.04481866,0,0,0.018852072,0,0.025346978,0,0,0.95580095
203734300136_R02C01,V773_SS-19-4868_40x_S60-2019-10-04-16-50-08,RTK2,0,0.242634413,0.422203241,0.057390828,0.277771518,0,0.012652784,0.004202797,0.00298788,0.56816758,0.124332042,0.006190041,0.281466876
203855160070_R05C01,W910-SI-19-7762-20x-S60,RTK2,0.067388626,0.251724134,0.232091832,0.09695973,0.351835678,0,0.059047128,0.002712465,0,0.460252765,0.005399853,0.059143861,0.413443928
203855160070_R08C01,W918-SS-19-8152-40x-S60,mesenchymal,0,0.204810305,0.517320419,0.048833814,0.229035462,0.007450999,0.004930655,0.008689923,0.142835664,0.687119634,0.113269162,0,0.035703962
203855160125_R03C01,W950-SS-19-8150-40x-S60,RTK2,0.341851154,0.166514213,0.226186062,0.05137777,0.2140708,0.054672179,0.062842617,0.02188528,0.112970587,0.158315276,0.042363162,0.352205988,0.19474491
203858570034_R07C01,X954_ST-20-2307-20x-XR,RTK2,0.06119863,0.391162565,0.393480821,0.07645764,0.077700344,0.028897888,0,0.020567664,0.051488798,0.202235808,0.117248174,0.019208969,0.5603527
203858570034_R08C01,X955_ST-20-2304-20x-XR,mesenchymal,0.104552329,0.642200803,0.059113555,0.077484946,0.116648366,0.005679455,0,0.001738171,0,0,0,0.011057878,0.981524496
203858570092_R02C01,X920_ST-20-2247_20x_XR,mesenchymal,0.213057986,0.100336605,0.15910568,0.178240617,0.349259111,0.044420188,0.222230226,0.022285312,0.050825163,0.197180295,0.009320753,0.323819022,0.129919041
203858570092_R04C01,X922_ST-20-2259_20x_XR,mesenchymal,0,0.274281855,0.489161165,0.043624109,0.192932871,0,0,0,0.015137652,0.873444038,0.11141831,0,0
203858570092_R07C01,X930_ST-20-2333_20x_XR,RTK2,0.13062286,0.243644506,0.5014276,0.07533555,0.048969485,0.004296426,0.00246815,0.055812545,0.894603208,0,0,0.04281967,0
203960260132_R04C01,X616-ST-20-1405-20x-S60,mesenchymal,0.143249996,0.590623053,0.090085242,0.085305331,0.090736378,0.006376245,0.004788463,0,0.008120103,0,0.003967393,0.014224142,0.962523654
203960260132_R05C01,X617-ST-20-1491-20x-S60,RTK2,0,0.510710868,0.241300082,0.09745257,0.15053648,0.071100611,0,0.017459219,0.021296855,0.303125387,0,0.01367916,0.573338768
203960260132_R06C01,X618-ST-20-1598-20x-S60,RTK2,0.1175033,0.785460553,0.000785762,0.060881312,0.035369073,0.002192335,0.003155823,0.00254781,0,0,0.005506596,0,0.986597436
203960260141_R03C01,X715-SI-20-1837-2A-SL1-20x-S60,RTK2,0.155122053,0.491907032,0.157572095,0.07196333,0.12343549,0.019586738,0,0.019626668,0.052580365,0.015490678,0.030224985,0.050928958,0.811561608
203960260165_R04C01,X649-SS-20-1722-20x-S60,RTK2,0.322711104,0.422646453,0.10146707,0.083305964,0.069869408,0,0,0,0.03724283,0,9.89E-05,0.247811069,0.714847209
203960330039_R05C01,X749-ST-20-1972-20x-S60,mesenchymal,0.011181418,0.393070095,0.43200686,0.091111272,0.072630355,0,0.005500373,0,0.907591249,0,0.063473411,0,0.023434967
203960330139_R05C01,Y077_ST-20-2629_20x_XR,mesenchymal,0,0.712578568,0.065643326,0.057749931,0.164028175,0.004974647,0.019852252,0.001185559,0,0.133593765,0,0,0.840393778
203960330139_R08C01,Y082_ST-20-2549_20x_XR,RTK1,0,0.322454008,0.129323902,0.120524608,0.427697482,0.025619058,0.069109859,0,0,0.510684004,0,0,0.394587079
203960330140_R07C01,Y003_ST-20-2401_20x_XR,mesenchymal,0.427248502,0.494519882,0,0.017476782,0.060754834,0,0.02416487,0.003129599,0,0,0.003586368,0.369608577,0.599510586
203960330141_R03C01,Y007_ST-20-2402_20x_XR,mesenchymal,0.190203204,0.17601658,0.42549185,0.090663423,0.117624943,0.023261612,0.007751304,0.000137973,0.448736142,0.181956898,0.107229002,0.135416054,0.095511015
203962710113_R06C01,X568-SS-20-1565-20x-S60-2,mesenchymal,0.223838455,0.357640718,0.279487785,0.056264963,0.082768078,0,0,0.01434983,0,0.209128075,0.062592659,0.05933625,0.654593186
203962710145_R08C01,X442_SS-20-1204-20x-S60-2,mesenchymal,0.070662966,0.776032688,0.029597597,0.06743167,0.056275079,0,0.001212477,0,0,0,0.003804427,0.035412668,0.959570429
203962710152_R03C01,X455-SS-20-1121-20x-S60,mesenchymal,0.158154495,0.537969312,0.098601236,0.056785927,0.14848903,0,0.003176308,0,0,0.061600195,0,0.06637613,0.868847367
203962710152_R07C01,X464-SS-20-1239-20x-S60,mesenchymal,0.399666368,0.274571451,0.062576616,0.066912286,0.196273279,0,0.045960081,0,0.015038693,0.098534789,0.00367777,0.527226463,0.309562204
204068340061_R08C01,Y402_ST-20-2756_20x_S60,mesenchymal,0,0.517685227,0.215476989,0.099830481,0.167007302,0.017485073,0.031811006,0.008719596,0.036588728,0.304437611,0.014464206,0,0.58649378
204070090002_R05C01,X881-ST-20-2191-20x-XR-2---2020-05-20-09.27.49,RTK2,0.043138344,0.659883685,0.154464557,0.073513029,0.069000385,0.036873536,0,0.011107328,0.027759991,0.063594858,0.01019849,0,0.850465797
204070090002_R08C01,X884-ST-20-2176-20x-XR,RTK2,0.531217198,0.157389015,0.074079298,0.052624473,0.184690016,0.019692192,0.021762931,0.001483704,0.022449371,0,0.007696795,0.657822755,0.269092253
204070090003_R01C01,V313-SI-19-3474-aA-SL1-20x-XR,RTK2,0.05605827,0.322800708,0.213282406,0.100261587,0.307597029,0.022030243,0.091398967,0.00300928,0,0.432537705,0,0.04412894,0.406894864
204070090003_R05C01,X847_ST-20-2172-20x-XR,mesenchymal,0.118407269,0.434362571,0.319444952,0.082536281,0.045248927,0.027899288,0.031073478,0.016463432,0.836973368,0,0,0,0.087590434
204095630005_R01C01,Y083_ST-20-2591_HE_20x_S60-,mesenchymal,0.072658209,0.215892818,0.493517704,0.064683915,0.153247353,0,0,0,0.326041105,0.397495431,0.150896068,0,0.125567397
204095630009_R03C01,Y124_ST-20-2664_20x_S60,mesenchymal,0.106526565,0.572085804,0.082000986,0.144899465,0.094487179,0,0.06082537,0.015350208,0.007567072,0.100050492,0,0,0.816206857
204095630009_R07C01,Y128_ST-20-2670_20x_S60,RTK2,0.289334624,0.356608824,0,0.049809805,0.304246747,0,0.1799571,0,0,0.039131153,0,0.338317762,0.442593985
204095630009_R08C01,Y129_ST-20-2671_20x_S60,RTK1,0.358888417,0.231587485,0.036910876,0.233659457,0.138953766,0,0.231117746,0.050978568,0.100001919,0,0,0.478125253,0.139776514
204095630010_R03C01,Y038_ST-20-2477_20x_XR,RTK2,0,0.26777463,0.439623578,0.055593826,0.237007965,0,0.001188586,0,0,0.866533248,0.106012465,0,0.0262657
204095630025_R03C01,Y105_SS-20-2780_20x_XR,mesenchymal,0.226182655,0.287623757,0.302332425,0.067646899,0.116214263,0.009855278,0,0.016601989,0.12679267,0.239010685,0.033020567,0.149207171,0.42551164
204095630025_R04C01,Y108_ST-20-2663_20x_XR,RTK2,0.449949939,0.155931516,0.068022236,0.062848037,0.263248272,0,0.066531452,0,0,0,0.048255663,0.611606035,0.273606849
204097730029_R04C01,Y188_ST-20-2785_20x_XR_R2---2020-07-13-10.48.47,mesenchymal,0.775609172,0.083799201,0,0.039495377,0.101096251,0,0.039538372,0.008872913,0,0,0,0.939485633,0.012103082
204097740023_R03C01,Y173_ST-20-2753_20x_XR_-_2020-07-13_10.14.05,RTK1,0,0.210952307,0.420241557,0.10113423,0.267671907,0.036643748,0.011713747,0.053857795,0.143143883,0.530719579,0.032933262,0.013081815,0.177906171
204097740023_R07C01,Y183_ST-20-2912_20x_XR - 2020-07-08 12.04.28,RTK2,0.225326899,0.555259472,0.032834947,0.065651517,0.120927165,0.007378719,0.019350958,0.008624732,0,0,0,0.122918705,0.841726887
